english	hi_deva_in	status	register_or_domain	authority	rationale_or_rejected_choice
restriction of a function	प्रतिबंधन	controlled	set theory/functions	controlled relation/function restriction register plus displayed formula	Use in the phrase C पर f का प्रतिबंधन; its domain is C and values agree with f.
application of a function to a set	अनुप्रयोग	controlled	set theory/functions	controlled relation application register plus displayed image formula	Use in the phrase C पर f का अनुप्रयोग; distinguish from evaluation at a single argument.
image of a set under a function	प्रतिबिंब	controlled	set theory/functions	NCERT Hindi function-image register plus displayed set-builder formula	Use as f के अधीन C का प्रतिबिंब and keep distinct from whole-function range परिसर.
inverse of a function	फलन का प्रतिलोम	controlled	set theory/functions	NCERT Hindi Class XII relations and functions via IIT Kanpur SATHEE	NCERT defines g as f का प्रतिलोम and writes f^{-1}; reject इनवर्स फ़ंक्शन.
invertible function	व्युत्क्रमणीय फलन	controlled	set theory/functions	NCERT Hindi Class XII relations and functions via IIT Kanpur SATHEE	Use when a two-sided inverse exists; keep distinct from merely having one one-sided inverse.
left inverse	वाम प्रतिलोम	controlled	set theory/functions	CSTT Fundamental Glossary of Mathematics (English-Hindi-Marathi)	Official technical headword; the adjacent equation g(f(x))=x supplies the accessible operational explanation; reject लेफ्ट इनवर्स.
right inverse	दक्षिण प्रतिलोम	controlled	set theory/functions	CSTT Fundamental Glossary of Mathematics (English-Hindi-Marathi)	Official technical headword; the adjacent equation f(h(y))=y supplies the accessible operational explanation; reject राइट इनवर्स.
composition of functions	फलन-संयोजन	controlled	set theory/functions	CSTT Learners Glossary of Mathematics; NCERT Hindi Class XII via IIT Kanpur SATHEE	CSTT records फलन-संयोजन and NCERT uses फलनों का संयोजन with g∘f=g(f(x)); reader headings use the natural inflected phrase and reject कम्पोज़िशन.
partial function	आंशिक फलन	controlled	set theory/functions	CSTT Glossary of Computer Science (English-Hindi)	Official headword directly recorded by CSTT; adjacent definition supplies at-most-one-output condition; reject पार्शियल फ़ंक्शन.
total function	पूर्ण फलन	controlled composition	set theory/functions	controlled पूर्ण plus explicit OLP definition	Used only after explaining that the partial function is defined on every domain element; reject टोटल फ़ंक्शन.
serial relation	क्रमिक संबंध	controlled with explicit definition	set theory/relations	controlled क्रमिक plus exact adjacent quantified condition	The proposition immediately states every x has a related y, so the technical sense cannot be confused with an ordinary sequence; reject सीरियल रिलेशन.
enumeration	गणन	controlled	set theory/cardinality	CSTT Fundamental Glossary of Mathematics (English-Hindi-Marathi)	CSTT records गणन and गिनना; use the compact technical noun गणन and reject एन्यूमरेशन.
enumerable set	गणनीय समुच्चय	controlled	set theory/cardinality	CSTT Fundamental Glossary of Mathematics; SATHEE Hindi mathematics usage	Official headword and native teaching usage; reject enumerable सेट.
non-enumerable set	अगणनीय समुच्चय	controlled composition	set theory/cardinality	controlled गणनीय register plus native SATHEE uncountability usage	Use for the strict negation introduced by Cantor's result; reject non-enumerable सेट.
ceiling function	लघुतम पूर्णांक फलन (छत फलन)	controlled	mathematics	CSTT Learners Glossary of Mathematics	CSTT records both forms; lead with the descriptive official term and retain छत फलन parenthetically.
free for	मुक्त	controlled in syntactic frame	first-order logic/substitution	Hindi logical syntax plus the explicit source condition	Render “t is free for x in A” as “t, x के लिए A में मुक्त है”; the surrounding Hindi supplies के लिए and में, so the generated token itself is मुक्त. Reject exposed English “free for”.
complete set	पूर्ण समुच्चय	controlled	logic/model theory	standard Hindi mathematical adjective plus explicit source definition	Use पूर्ण for the completeness property and keep it distinct from समाप्त or whole-work completion; reject exposed English complete.
function symbol	फलन-चिह्न	controlled	first-order logic/syntax	controlled फलन plus transparent चिह्न	Use for the nonlogical syntactic symbol; distinguish it from the interpreted फलन and reject exposed English function symbol.
predicate symbol	विधेय-चिह्न	controlled	first-order logic/syntax	standard Hindi logic विधेय plus transparent चिह्न	Use for the nonlogical syntactic symbol; distinguish it from its interpreted extension and reject exposed English predicate symbol.
formal language	भाषा	controlled	logic/syntax	standard Hindi logic and linguistics register	Use the unmarked native noun where the formal context fixes the sense; preserve formal language identifiers and reject exposed English language.
term value	पद का मान	controlled	logic/model theory	standard Hindi mathematics मान plus the adjacent term context	Use मान for the denotation of a term in a structure; distinguish it from truth value and reject exposed English value.
semantics	अर्थविज्ञान	controlled	logic/model theory	standard Hindi academic register	Use for the theory assigning interpretations and truth conditions; reject exposed English semantics and Hinglish.
structure	संरचना	controlled	logic/model theory	standard Hindi mathematical and logical register	Use for a domain together with interpretations of nonlogical symbols; distinguish from model when the source makes that distinction.
model	प्रतिरूप	controlled	logic/model theory	standard Hindi logic register plus the source satisfaction definition	Use only for a structure satisfying the relevant sentence or theory; reject मॉडल in reader prose.
satisfaction	संतुष्टि	controlled	logic/model theory	standard Hindi logical formation plus the complete inductive definition	Use for the relation between a structure, assignment, and formula; reject exposed English satisfaction.
variable assignment	चर-नियतन	controlled	logic/model theory	controlled native compound plus the source function definition	Use नियतन for the function from variables to the structure's domain; reject असाइनमेंट and keep substitution notation invariant.
x-variant	x-परिवर्ती	controlled	logic/model theory	controlled native formation with invariant formal variable x	Use for assignments agreeing everywhere except possibly at x; reject x-वेरिएंट.
validity	वैधता	controlled	logic/model theory	standard Hindi logical and legal-academic noun disambiguated by the source definition	Use for truth in every structure; reject वैलिडिटी.
semantic consequence	अर्थगत तात्पर्य	controlled	logic/model theory	transparent Hindi logical phrase plus the exact model-theoretic definition	Use the shorter तात्पर्य in definition headings and inflected prose when अर्थगत context is explicit; reject entailment transliteration.
satisfiable	संतुष्टनीय	controlled	logic/model theory	productive native logical formation from संतुष्टि plus the exact existence-of-a-model definition	Use असंतुष्टनीय for its negation; reject सैटिस्फ़ाएबल.
covered structure	आच्छादित संरचना	provisional controlled	logic/model theory	transparent native compound fixed by the source closed-term denotation condition	Use only for the source's technical property that every domain element is denoted by a closed term; reject covered स्ट्रक्चर.
theory	सिद्धांत	controlled	logic/model theory	standard Hindi academic and mathematical register	Use for a deductively closed body or the axiom-governed subject under discussion; reject थ्योरी in reader prose.
axiom system	अभिगृहीत-तंत्र	controlled	logic/model theory	controlled अभिगृहीत plus transparent तंत्र	Use for the source set of axioms; keep distinct from its semantic closure and reject एक्सिओम सिस्टम.
axiomatized	अभिगृहीतीकृत	controlled	logic/model theory	productive formation from controlled अभिगृहीत	Use in the frame “∆ द्वारा अभिगृहीतीकृत”; reject awkward अभिगृहीतित and transliterated forms.
closure	संवरण	controlled	logic/model theory	standard Hindi mathematical formation	Use for the set of all semantic consequences; distinguish the resulting संवरण from the property संवृत.
closed	संवृत	controlled	logic/model theory	standard Hindi mathematical formation	Use for a sentence set containing all its semantic consequences; reject क्लोज़्ड.
intended structure	अभीष्ट संरचना	controlled	logic/model theory	standard Hindi अभीष्ट plus controlled संरचना	Use for structures the axioms are meant to capture; reject intended स्ट्रक्चर.
definability	परिभाषणीयता	controlled	logic/model theory	productive native mathematical formation	Use for whether a relation can be expressed in the chosen language; reject डिफाइनेबिलिटी.
induction schema	आगमन-योजना	controlled	arithmetic/logic	standard Hindi mathematical आगमन plus transparent योजना	Use for the infinite family of induction sentences; reject इंडक्शन स्कीमा.
naive comprehension scheme	अनौपचारिक समुच्चय-निर्माण योजना	controlled reader gloss	set theory	controlled समुच्चय-निर्माण plus the established explanatory अनौपचारिक register	The adjacent paradox explains the technical defect; avoid naïve/नैव transliteration and do not confuse with the later unrestricted principle.
extensional	विस्तारात्मक	controlled	set theory/model theory	standard native mathematical formation	Use for equality determined by the same members; distinguish the adjective from विस्तारात्मकता.
mereology	भागमीमांसा	controlled reader formation	mereology/metaphysics	transparent भाग plus academic मीमांसा	Use for the theory of parts and wholes; retain the exact formal predicate P and reject मेरियोलॉजी in reader prose.
parthood	भाग-संबंध	controlled reader formation	mereology/metaphysics	transparent native compound fixed by the adjacent formal definition	Use for the relation “x is part of y”; keep distinct from membership and subsethood.
co-finite	सहपरिमित	controlled	set theory/definability	standard mathematical सह- formation plus controlled परिमित	Use when the complement is finite; reject को-फाइनाइट.
separation principle	पृथक्करण सिद्धांत	controlled	set theory	standard Hindi mathematical पृथक्करण plus सिद्धांत	Use for the restricted, consistent comprehension principle in ZFC; reject सेपरेशन प्रिंसिपल.
derivation system	व्युत्पत्ति-तंत्र	controlled	logic/proof theory	transparent controlled compound built from the established व्युत्पत्ति and तंत्र	Use for a formal system of axioms and inference rules; reject डेरिवेशन सिस्टम.
sequent	अनुक्रम	controlled	proof theory/sequent calculus	transparent native term fixed by the exact ordered-pair definition	Use for the two sentence sequences separated by the invariant sequent sign; context distinguishes it from an ordinary sequence.
sequent calculus	अनुक्रम-कलन	controlled	proof theory	transparent native compound paired with the complete source definition	Use throughout the proof-systems section; reject exposed English and अनुक्रम कैलकुलस.
natural deduction	स्वाभाविक निगमन	controlled	proof theory	standard Hindi logical निगमन plus an accessible rendering of natural	Use for the proof system patterned on ordinary reasoning; reject नैचुरल डिडक्शन.
truth tree	सत्य-वृक्ष	controlled	proof theory/tableaux	transparent reader-facing compound plus the source branching definition	Use as the primary Hindi name for the signed-formula tree method.
tableau	सत्य-वृक्ष	controlled reader rendering	proof theory/tableaux	exact source method plus the transparent truth-tree form	Render the source token as सत्य-वृक्ष; retain सारणी-प्रमाण only as a one-time indexed explanatory synonym and reject bare टैब्लो.
signed formula	चिह्नित सूत्र	controlled	proof theory/tableaux	transparent native compound fixed by the formula-plus-T-or-F definition	Use with the invariant truth-value signs; reject साइन किया सूत्र.
axiomatic derivation	अभिगृहीतीय व्युत्पत्ति	controlled	proof theory	controlled अभिगृहीत and व्युत्पत्ति register plus the source definition	Use for derivations formed from axiom schemas, assumptions, and inference rules.
axiom schema	अभिगृहीत-प्रतिरूप	controlled	proof theory	controlled अभिगृहीत plus transparent प्रतिरूप	Use for a fixed sentence pattern admitting instances; distinguish it from an individual अभिगृहीत.
inference rule	अनुमान-नियम	controlled	logic/proof theory	standard transparent Hindi logical compound	Use for a rule licensing a conclusion from premises; reject इन्फरेंस रूल.
soundness	सुदृढ़ता	controlled	logic/metatheory	standard Hindi logical register plus the exact derivability-to-consequence definition	Use only for the source metatheoretic direction; reject exposed English soundness.
completeness	पूर्णता	controlled	logic/metatheory	standard Hindi logical register plus the exact consequence-to-derivability definition	Use for the metatheoretic converse of soundness; distinguish from everyday सम्पूर्णता where necessary.
consistency	संगतता	controlled	logic/metatheory	standard Hindi logical register plus the no-contradiction definition	Use संगतता/असंगतता for syntactic consistency/inconsistency; keep distinct from संतुष्टनीयता.
introduction rule	प्रवेश-नियम	controlled	natural deduction	transparent native compound aligned with connective introduction	Use in reader prose while preserving invariant formal rule labels such as Intro.
elimination rule	निरसन-नियम	controlled	natural deduction	transparent native compound aligned with connective elimination	Use in reader prose while preserving invariant formal rule labels such as Elim.
discharge an assumption	मान्यता को मुक्त करना	controlled reader phrase	natural deduction	ordinary Hindi explanatory phrase fixed by the active-dependency definition	Prefer the transparent verb phrase to an opaque nominal coinage; preserve the generated source token in TeX.
undischarged assumption	अमुक्त मान्यता	controlled	natural deduction	transparent native prefix formation plus controlled मान्यता	Use for an assumption still active at the proof conclusion; reject अनडिस्चार्ज्ड.
proof by cases	स्थिति-भेद से प्रमाण	controlled reader phrase	proof methods/natural deduction	transparent Hindi account of separate disjunctive cases	Use for the natural-deduction method; reject केसों से प्रूफ.
conditional proof	आपादन-प्रमाण	controlled	proof methods/natural deduction	standard logical आपादन plus प्रमाण and the source antecedent-assumption explanation	Use for deriving a conditional by temporarily assuming its antecedent.
indirect proof	अप्रत्यक्ष प्रमाण	controlled	proof methods/natural deduction	standard Hindi logical phrase	Use for deriving a conclusion through contradiction from its negation.
proof-theoretic semantics	प्रमाण-सैद्धांतिक अर्थविज्ञान	controlled	philosophy of logic	transparent controlled compound from प्रमाण, सिद्धांत, and अर्थविज्ञान	Use where the source names the programme; reject exposed English phrase.
modus ponens	मोडस पोनेन्स	controlled indexed borrowing	proof theory/axiomatic derivation	established Latin-name borrowing supported by the adjacent complete rule explanation	Retain the conventional name and explain its sufficient-condition content; do not invent a competing opaque coinage.
many-sorted logic	बहु-वर्गीय तर्कशास्त्र	controlled	formal logic	transparent Hindi compound checked against chapter usage	Keep sort distinct from type; reject untranslated many-sorted logic.
sort	वर्ग	controlled	many-sorted logic	controlled chapter distinction	Use for a many-sorted domain category; reserve प्रकार for higher-order type.
second-order logic	द्वितीय-कोटि तर्कशास्त्र	controlled	formal logic	established native ordinal construction	Reject unadapted second-order logic.
higher-order logic	उच्चतर-कोटि तर्कशास्त्र	controlled	formal logic	transparent native ordinal construction	Use for higher-order and higher-type discussion; reject Hinglish.
type	प्रकार	controlled	higher-order logic	standard Hindi technical usage	Keep distinct from वर्ग meaning sort.
comprehension schema	परिग्रहण-योजना	controlled	second- and higher-order logic	controlled transparent compound grounded in the chapter explanation	Use for the schema that forms a relation or function from a condition; reject comprehension स्कीमा.
full semantics	पूर्ण अर्थविज्ञान	controlled	model theory	transparent controlled compound	Use when variables range over all objects/functions of the relevant kind.
weak semantics	दुर्बल अर्थविज्ञान	controlled	model theory	transparent controlled contrast with पूर्ण अर्थविज्ञान	Use for the restricted semantics; reject कमजोर semantics.
predicative	विधेयात्मक	controlled	foundations	controlled derivation from विधेय	Keep distinct from अविधेयात्मक.
impredicative	अविधेयात्मक	controlled	foundations	controlled negated derivation from विधेयात्मक	Use where a definition quantifies over a totality containing the defined object.
intuitionistic logic	अंतःप्रज्ञावादी तर्कशास्त्र	controlled	philosophy of logic	standard philosophical formation around अंतःप्रज्ञावाद	Reject exposed intuitionistic logic.
law of excluded middle	मध्यनिषेध नियम	controlled	intuitionistic logic	concise controlled logical term	Use with a first-use explanation of the formula; reject literal middle-exclusion calque.
double-negation translation	द्विनिषेध अनुवाद	controlled	intuitionistic logic	transparent logical compound	Use for the Gödel–Gentzen translation described in the chapter.
possible world	संभावित जगत	controlled	modal logic	standard transparent philosophical usage	Use जगत rather than world borrowing.
accessibility relation	अभिगम्यता-संबंध	controlled	Kripke semantics	transparent Hindi compound	Use for the relation between possible worlds; reject access relation.
forcing relation	बलन-संबंध	controlled	Kripke semantics	controlled mathematical formation	Use for the inductively extended satisfaction/forcing relation.
monotone assignment	क्रम-संरक्षी नियतन	controlled	Kripke semantics	meaning-based Hindi rendering	Prefer an explicit order-preserving description to monotone assignment borrowing.
modal logic	विधात्मक तर्कशास्त्र	controlled	formal and philosophical logic	standard Hindi philosophical formation	Use विधात्मक for modality; reject मोडल logic.
default logic	पूर्वकल्पना-आधारित तर्कशास्त्र	controlled	nonmonotonic reasoning	reader-oriented meaning-based rendering	Make the revisable-default mechanism explicit rather than borrowing default.
nonmonotonic logic	अ-एकदिशी तर्कशास्त्र	controlled	nonmonotonic reasoning	controlled meaning-based contrast with monotonic consequence	Use for logics in which conclusions may be withdrawn after new information.
deontic logic	कर्तव्यात्मक तर्कशास्त्र	controlled	philosophical logic	transparent derivation from कर्तव्य	Use for reasoning about duties and obligations; reject exposed deontic.
model theory	प्रतिरूप सिद्धांत	controlled	logic/model theory	standard Hindi mathematical register and frozen OLP chapter context	Keep प्रतिरूप distinct from the broader संरचना; reject मॉडल थ्योरी in reader prose.
reduct	न्यूनीकृत रूप	controlled	model theory	meaning-explicit Hindi rendering in the OLP definition	Use for the structure obtained by forgetting interpretations outside the smaller language; reject exposed reduct.
expansion	विस्तार	controlled	model theory	standard transparent mathematical usage	Use for adding symbols and their interpretations; context distinguishes it from a domain extension.
extension	विस्तार	controlled	model theory	standard transparent mathematical usage	Use for a superstructure containing a given substructure; context distinguishes it from signature expansion.
substructure	उपसंरचना	controlled	model theory	standard उप- compound built on controlled संरचना	Reject substructure borrowing and keep the shared-domain interpretation conditions explicit.
overspill	अतिप्रवाह	controlled	model theory/compactness	transparent established mathematical compound	Use for the compactness consequence from arbitrarily large finite models to an infinite model.
elementarily equivalent	प्राथमिकतः तुल्य	controlled	model theory	meaning-preserving formation around primary first-order equivalence	Keep distinct from समरूपी, which is strictly stronger.
isomorphism	समरूपता	controlled	algebra/model theory	standard Hindi mathematical term	Use for a bijection preserving constants, predicates, and functions.
isomorphic	समरूपी	controlled	algebra/model theory	standard adjectival form of समरूपता	Keep distinct from प्राथमिकतः तुल्य.
automorphism	स्वसमरूपता	controlled	algebra/model theory	standard स्व- compound	Use for an isomorphism from a structure to itself.
partial isomorphism	आंशिक समरूपता	controlled	model theory	transparent compound from controlled terms	Use for the finite partial maps satisfying the isomorphism conditions on their domains.
back-and-forth	आगे-पीछे	controlled	model theory	reader-accessible literal rendering of the paired extension property	Use आगे and पीछे as the two named clauses; reject untranslated Back/Forth headings.
quantifier rank	परिमाणक-कोटि	controlled	formal logic	transparent technical compound	Use for maximum quantifier nesting depth; keep कोटि distinct from order in first-order.
concatenation	संलग्नन	controlled	sequences/formal logic	standard mathematical formation	Use for appending an element to a finite sequence; reject कॉन्कैटनेशन.
dense linear order without endpoints	अंतबिंदु-रहित सघन रैखिक क्रम	controlled	order theory	composition of controlled Hindi order-theory terms	Use the full form at definition and in theorem statements.
range	परिसर	controlled	functions/model theory	standard Hindi function terminology alongside प्रांत for domain	Use for the image/range of a partial map; reject रेंज in reader prose.
arithmetic	अंकगणित	controlled	logic/number theory	CSTT and native Hindi mathematics usage	Use for the subject and for arithmetic theories; reject arithmetic borrowing.
standard model	मानक प्रतिरूप	controlled	model theory/arithmetic	controlled प्रतिरूप plus the established मानक contrast	Keep distinct from a merely intended interpretation and reject standard मॉडल.
non-standard model	अमानक प्रतिरूप	controlled	model theory/arithmetic	controlled contrast with मानक प्रतिरूप	Use the closed Hindi compound; reject non-standard मॉडल.
standard numeral	मानक संख्यांक	controlled	logic/arithmetic	standard Hindi mathematical formation for a numeral denoting a natural number	Keep संख्यांक distinct from the number itself.
standard number	मानक संख्या	controlled	model theory/arithmetic	transparent Hindi contrast used in the frozen chapter	Use for elements represented by standard numerals.
non-standard number	अमानक संख्या	controlled	model theory/arithmetic	transparent Hindi contrast used throughout the chapter	Reject non-standard number borrowing and do not conflate with an infinite cardinal.
Peano arithmetic	पियानो अंकगणित	controlled	logic/arithmetic	native Hindi rendering with the conventional name पियानो	Preserve the formal identifier PA; translate the reader-facing name.
computable model	संगणनीय प्रतिरूप	controlled	computability/model theory	composition of controlled संगणनीय and प्रतिरूप	Preserve formal presentations and machine notation; reject computable मॉडल.
computable	संगणनीय	controlled	computability theory	CSTT/native academic Hindi usage	Use for effective functions, relations, structures, and models; reject कम्प्यूटेबल.
decidable	निर्णेय	controlled	logic/computability	standard Hindi logical terminology	Use for relations or theories with an effective decision procedure.
primitive recursion	आदिम पुनरावर्तन	controlled	computability theory	standard compositional Hindi technical register	Retain primitive recursive in the English index; reject raw transliteration in prose.
block (non-standard arithmetic)	खंड	controlled	model theory/arithmetic	reader-transparent Hindi term matching the chapter's equivalence classes	Use only for the successor/predecessor block relation in an arithmetic model.
standard part	मानक भाग	controlled	model theory/arithmetic	transparent Hindi technical compound	Use for the substructure consisting of standard elements; do not confuse with standard part in nonstandard analysis without context.
cancellation law	निरसन नियम	controlled	algebra/arithmetic	standard Hindi algebraic terminology	Use for additive cancellation in the block argument; reject कैंसलेशन law.
Tennenbaum's theorem	टेनेनबाउम का प्रमेय	controlled	computability/model theory	conventional Devanagari transcription plus controlled प्रमेय	Preserve Tennenbaum in the English index and the formal theorem statement.
interpolation theorem	अंतर्वेशन प्रमेय	controlled	logic/model theory	meaning-transparent Hindi mathematical formation	Use for Craig's theorem and its applications; reject exposed interpolation borrowing in reader prose.
interpolant	अंतर्वेशक	controlled	logic/model theory	productive agent-noun formed from controlled अंतर्वेशन	Use for the sentence lying semantically between antecedent and consequent; keep its shared-vocabulary condition explicit.
separation (of theories or sentence sets)	पृथक्करण	controlled	logic/model theory	standard Hindi mathematical पृथक्करण plus the chapter's exact semantic definition	Use for a sentence entailed on one side whose negation is entailed on the other; do not conflate with the ZFC separation principle.
inseparable	अपृथक्करणीय	controlled	logic/model theory	productive negated formation from पृथक्करणीय	Use only under the chapter's no-separating-sentence definition; reject inseparable transliteration.
explicit definition	स्पष्ट परिभाषा	controlled	logic/definability	reader-transparent native phrase	Use when a formula in the base language directly defines the relation; indexed verbal form is स्पष्टतः परिभाषित करना.
implicit definition	अंतर्निहित परिभाषा	controlled	logic/definability	reader-transparent native phrase	Use when all expansions of a fixed reduct force the same predicate interpretation; indexed verbal form is अंतर्निहित रूप से परिभाषित करना.
joint consistency theorem	संयुक्त संगतता प्रमेय	controlled	logic/model theory	compositional Hindi rendering using controlled संगतता	Use for Robinson's theorem; retain the personal name only when reader-facing source gives it.
compactness	संहतता	controlled	logic/model theory	standard Hindi mathematical term used with the exact finite-subset/model-theoretic principle	Use संहतता for logical compactness; do not substitute ordinary संक्षिप्तता or compact transliteration.
abstract logic	अमूर्त तर्क	controlled	logic/model theory	transparent Hindi technical compound	Use for the general language-to-sentences-and-satisfaction pair; keep distinct from formal logic as a field.
normal logic	प्रसामान्य तर्क	controlled	logic/model theory	meaning-transparent technical formation	Use only for the exact property bundle defined in the Lindström chapter; reject सामान्य तर्क because it loses the contrast.
monotonicity	एकदिशता	controlled	logic/model theory	controlled mathematical formation	Use for language-extension monotonicity here; do not silently generalize it to unrelated numerical monotonicity.
expansion property	विस्तार गुण	controlled	logic/model theory	compositional Hindi technical register	Keep distinct from an expansion of a particular structure where context supplies the same noun.
renaming property	पुनर्नामकरण गुण	controlled	logic/model theory	reader-transparent native formation	Use for invariance under systematic symbol renaming.
Boolean property	बूलीय गुण	controlled	logic/model theory	conventional Devanagari technical adjective plus controlled गुण	Use for closure under Boolean connectives.
quantifier property	परिमाणक गुण	controlled	logic/model theory	standard Hindi logic term	Use for the property corresponding to quantification over an added constant.
relativization	सापेक्षीकरण	controlled	logic/model theory	standard compositional technical Hindi	Use for restricting an abstract-logic sentence to a definable substructure or domain.
at least as expressive	कम-से-कम उतना ही अभिव्यंजक	controlled	logic/model theory	meaning-preserving Hindi comparative phrase	Preserve the direction of the formal expressive-strength preorder.
downward Löwenheim–Skolem property	अवरोही लोवेनहाइम--स्कोलेम गुण	controlled	logic/model theory	controlled अवरोही plus conventional personal-name transcription	Retain frozen source spelling parenthetically at the first reader occurrence and preserve the direction distinction.
Lindström's theorem	लिंडस्ट्रॉम का प्रमेय	controlled	logic/model theory	conventional personal-name transcription plus controlled प्रमेय	Retain frozen source spelling parenthetically at the first reader occurrence.
characterization	अभिलक्षणन	controlled	logic/model theory	standard mathematical Hindi formation	Use for a theorem identifying an object by necessary and sufficient properties.
primitive recursive function	आदिम पुनरावर्ती फलन	controlled	computability theory	compositional Hindi technical register built from controlled आदिम पुनरावर्तन	Keep distinct from सामान्य पुनरावर्ती फलन and आंशिक पुनरावर्ती फलन; index the English headword.
primitive recursive relation	आदिम पुनरावर्ती संबंध	controlled	computability theory	controlled relation terminology extended compositionally	Use when the characteristic function is primitive recursive; do not substitute decidable without the stated equivalence.
computable function	संगणनीय फलन	controlled	computability theory	standard native Hindi STEM register	Use for effective computability in the chapter; retain formal machine-independent definitions and reject कम्प्यूटेबल in prose.
composition (of functions)	संयोजन	controlled	functions/computability	standard Hindi mathematical term	Preserve the formal order of outer and inner functions; do not use ordinary मिश्रण.
projection function	प्रक्षेपण फलन	controlled	functions/computability	standard Hindi mathematical प्रक्षेपण	Use for the coordinate-returning primitive recursive functions; retain formal symbols P_i^n.
arity	स्थान-संख्या	controlled	logic/functions	meaning-transparent Hindi technical compound	Use for the number of argument places; retain n-place notation and reject bare एरिटी in reader prose.
characteristic function	अभिलाक्षणिक फलन	controlled	logic/computability	standard mathematical formation from अभिलक्षण	Use for the 0/1-valued function representing a relation; keep the chapter's truth-value convention explicit.
bounded quantification	परिबद्ध परिमाणीकरण	controlled	logic/computability	standard परिमाणक family plus परिबद्ध	Use only where the quantified variable has an explicit numerical bound.
bounded minimization	परिबद्ध न्यूनीकरण	controlled	computability theory	standard mathematical न्यूनीकरण with explicit bound	Keep distinct from अपरिबद्ध खोज; preserve the fallback-to-bound convention where defined.
unbounded search	अपरिबद्ध खोज	controlled	computability theory	reader-transparent native phrase	Use for mu-search without an independently given bound; do not imply termination.
partial recursive function	आंशिक पुनरावर्ती फलन	controlled	computability theory	controlled आंशिक फलन plus पुनरावर्ती	Use for functions generated after adding unbounded search; keep undefinedness arrows and domains explicit.
course-of-values recursion	मान-क्रम पुनरावर्तन	controlled	computability theory	meaning-transparent rendering of dependence on the sequence of prior values	Use for recursion whose next value may inspect all earlier values, not merely the immediate predecessor.
normal form	प्रसामान्य रूप	controlled	logic/computability	textbook Hindi mathematical register	Use for Kleene's normal-form theorem and its T/U representation; keep distinct from ordinary सामान्य रूप.
halting problem	विराम समस्या	controlled	computability theory	widely intelligible native Hindi rendering	Retain “halting problem” parenthetically at first occurrence for discoverability; reject हाल्टिंग समस्या as the primary prose term.
general recursive function	सामान्य पुनरावर्ती फलन	controlled	computability theory	literal technical distinction used by the frozen chapter	Use for total partial-recursive functions; do not conflate सामान्य with informal ordinary/common.
computable set	संगणनीय समुच्चय	controlled	computability theory	composition of controlled संगणनीय and समुच्चय	Use when membership has an effective total decision procedure; keep distinct from संगणनीयतः परिगणनीय समुच्चय.
computably enumerable set	संगणनीयतः परिगणनीय समुच्चय	controlled	computability theory	meaning-preserving Hindi adverbial formation around controlled संगणनीय and परिगणनीय	Use as the primary modern term; retain recursively enumerable as an indexed historical synonym, not as a silent conceptual replacement.
recursively enumerable set	पुनरावर्ततः परिगणनीय समुच्चय	controlled	computability theory	historical synonym rendered compositionally	Use only when the source explicitly invokes the historical name; map the mathematical extension to संगणनीयतः परिगणनीय समुच्चय.
semi-decidable	अर्ध-निर्णेय	controlled	logic/computability	standard compositional contrast with controlled निर्णेय	Use for positive-instance recognition that may diverge on negative instances; reject raw semi-decidable borrowing.
enumeration	परिगणन	controlled	computability theory	standard Hindi mathematical derivation from परिगणित	Use for an effective listing, while keeping परिसर for the resulting range.
reducibility	अपचयनीयता	controlled	computability theory	technical formation from अपचयन	Use for effective problem-to-problem reduction relations; preserve the direction of every reduction.
many-one reduction	अनेक-एक अपचयन	controlled	computability theory	meaning-transparent Hindi rendering of the mapping cardinality	Preserve the formal symbol \le_m and use अनेक-एक अपचयनीयता for the relation name.
one-one reducible	एक-एक अपचयनीय	controlled	computability theory	parallel controlled formation to अनेक-एक	Use only for injective effective reductions; do not collapse it into ordinary many-one reducibility.
Turing reducibility	ट्यूरिंग अपचयनीयता	controlled	computability theory	conventional personal-name transcription plus controlled अपचयनीयता	Use for oracle-relative computation; preserve \le_T and keep distinct from अनेक-एक अपचयनीयता.
complete computably enumerable set	पूर्ण संगणनीयतः परिगणनीय समुच्चय	controlled	computability theory	controlled पूर्ण plus the full class name	Use only with the stated reduction notion and class; do not let पूर्ण imply decidable.
fixed-point theorem	नियत-बिंदु प्रमेय	controlled	computability theory	standard Hindi mathematical term for fixed point	Use for the recursion/fixed-point theorem on program indices; retain formal index equations exactly.
index set	सूचकांक समुच्चय	controlled	computability theory	standard technical composition of सूचकांक and समुच्चय	Use for sets invariant under equality of the indexed partial function, not for arbitrary sets of numerals.
diagonalization	विकर्णीकरण	controlled	logic/computability	standard mathematical Hindi derivation from विकर्ण	Use for self-application and diagonal arguments; preserve the exact formal diagonal map.
oracle	दैवज्ञ	controlled	computability theory	native Hindi technical metaphor matching query-answer access	Use दैवज्ञ for an oracle set or oracle mechanism; retain formal superscripts and query syntax.
greatest common divisor	महत्तम समापवर्तक	controlled	number theory/computability	standard Hindi school and university mathematics term	Use the conventional abbreviation gcd only in formal code or notation.
arithmetical hierarchy	अंकगणितीय पदानुक्रम	controlled	logic/computability	standard compositional Hindi technical register	Use for the definability/complexity hierarchy; preserve formal Sigma/Pi level notation.
self-reference	स्व-संदर्भ	controlled	logic/computability	transparent native Hindi compound	Use for programs or definitions referring to their own indices; reject self-reference borrowing in reader prose.
